"ID_NUM","CAMPAIGN_CDE","YR_CDE","YEAR_TYPE","CASH_GIFT_NUM","CASH_GIFT_AMT","PROMISE_NUM","PROMISE_AMT","PROMISE_PMT_NUM","PROMISE_PMT_AMT","MATCH_GIFT_NUM","MATCH_GIFT_AMT","MATCH_PMT_NUM","MATCH_PMT_AMT","SOFT_CREDIT_NUM","SOFT_CREDIT_AMT","NON_CASH_NUM","NON_CASH_AMT","GIFTS_NUM","GIFTS_AMT","DEFER_NUM","DEFER_AMT","DEFER_PMT_NUM","DEFER_PMT_AMT","DON_RESTR_NUM","DON_RESTR_AMT","ORG_RESTR_NUM","ORG_RESTR_AMT","FIRST_GIFT_DTE","FIRST_GIFT_AMT","LAST_GIFT_DTE","LAST_GIFT_AMT","LARGEST_GIFT_DTE","LARGEST_GIFT_AMT","SMALLEST_GIFT_DTE","SMALLEST_GIFT_AMT","USER_NAME","JOB_NAME","JOB_TIME"
"1022","FO20","2019","F","1","50.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","50.00","0","0.00","0","0.00","0","0.00","0","0.00","2/28/2020 4:09:55 PM","50.00","2/28/2020 4:09:55 PM","50.00","2/28/2020 4:09:55 PM","50.00","2/28/2020 4:09:55 PM","50.00","drlynch","w_gift_entry","3/2/2020 8:36:43 AM"
"1022","PRES","2003","F","1","15.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","15.00","0","0.00","0","0.00","0","0.00","0","0.00","11/7/2003 5:31:49 PM","15.00","11/7/2003 5:31:49 PM","15.00","11/7/2003 5:31:49 PM","15.00","11/7/2003 5:31:49 PM","15.00","MTALLEN","w_recalc_summ_info","8/8/2011 4:23:54 PM"
"1022","PRES","2004","F","1","10.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","10.00","0","0.00","0","0.00","0","0.00","0","0.00","5/2/2005 8:49:59 AM","10.00","5/2/2005 8:49:59 AM","10.00","5/2/2005 8:49:59 AM","10.00","5/2/2005 8:49:59 AM","10.00","MTALLEN","w_recalc_summ_info","8/8/2011 4:42:57 PM"
"1022","SPRG","2002","F","0","0.00","3","75.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","MTALLEN","w_recalc_summ_info","8/8/2011 4:17:57 PM"
"1022","SPRG","2003","F","0","0.00","1","25.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","MTALLEN","w_recalc_summ_info","8/8/2011 4:17:57 PM"
"1022","UNCF","1998","F","1","20.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","20.00","0","0.00","0","0.00","0","0.00","0","0.00","12/22/1998 12:00:00 AM","20.00","12/22/1998 12:00:00 AM","20.00","12/22/1998 12:00:00 AM","20.00","12/22/1998 12:00:00 AM","20.00","MTALLEN","w_recalc_summ_info","8/8/2011 3:52:11 PM"
"1029","C150","2022","F","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","2000.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","","0.00","","0.00","","0.00","","0.00","JCOVARRUBIAS","w_gift_entry","3/13/2023 11:38:24 AM"
"1029","FOC ","2012","F","4","30.32","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","4","30.32","0","0.00","0","0.00","0","0.00","0","0.00","1/25/2013 2:39:59 PM","7.58","5/8/2013 3:15:31 PM","7.58","1/25/2013 2:39:59 PM","7.58","5/8/2013 3:15:31 PM","7.58","MTALLEN","w_gift_entry","5/8/2013 4:19:15 PM"
"1029","UD  ","2011","F","1","75.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","75.00","0","0.00","0","0.00","0","0.00","0","0.00","10/19/2011 4:28:15 PM","75.00","10/19/2011 4:28:15 PM","75.00","10/19/2011 4:28:15 PM","75.00","10/19/2011 4:28:15 PM","75.00","MTALLEN","w_gift_entry","10/20/2011 4:44:27 PM"
"1029","UN12","2014","F","1","100.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","100.00","0","0.00","0","0.00","0","0.00","0","0.00","12/18/2014 3:20:00 PM","100.00","12/18/2014 3:20:00 PM","100.00","12/18/2014 3:20:00 PM","100.00","12/18/2014 3:20:00 PM","100.00","MTALLEN","w_gift_entry","12/19/2014 1:26:19 PM"
"1029","UNCF","2001","F","1","50.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","50.00","0","0.00","0","0.00","0","0.00","0","0.00","12/21/2001 12:00:00 AM","50.00","12/21/2001 12:00:00 AM","50.00","12/21/2001 12:00:00 AM","50.00","12/21/2001 12:00:00 AM","50.00","MTALLEN","w_recalc_summ_info","8/8/2011 3:55:29 PM"
"1029","UNCF","2002","F","1","75.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","1","75.00","0","0.00","0","0.00","0","0.00","0","0.00","12/12/2002 7:35:19 PM","75.00","12/12/2002 7:35:19 PM","75.00","12/12/2002 7:35:19 PM","75.00","12/12/2002 7:35:19 PM","75.00","MTALLEN","w_recalc_summ_info","8/8/2011 4:12:29 PM"
